"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"1870 Flatboat St Stockton, CA 95206-6124","95206","09/09/08","67200","11/24/08","42.32","12/11/08","60225"
"1168 Brick And Tile Cir #Ci Stockton, CA 95206-5334","95206","05/20/09","79900","05/26/09","54.18","07/31/09","79000"
"1742 Decarli St Stockton, CA 95206-5711","95206","03/15/11","90000","10/19/11","61.31","01/27/12","90000"
"5029 Moorcroft Cir Stockton, CA 95206-6155","95206","03/20/09","148400","05/14/09","56.91","07/08/09","93500"
"1404 Venice Cir Stockton, CA 95206-6338","95206","03/18/11","89000","05/12/11","62.12","05/19/11","91000"
"3344 Buttrick Ln Stockton, CA 95206-5426","95206","01/20/12","90000","03/09/12","58.44","09/21/12","90000"
"1039 Wheeler St Stockton, CA 95206-5417","95206","01/25/12","100000","02/26/12","58.44","03/09/12","90000"
"3728 Wild Rose Ln Stockton, CA 95206-6105","95206","07/12/11","89900","08/12/11","63.16","09/14/11","90000"
"1117 Brick And Tile Cir #Ci Stockton, CA 95206-5322","95206","02/10/09","89900","06/25/09","66.03","07/10/09","90000"
"1645 Alcira Nunez St Stockton, CA 95206-5653","95206","11/28/08","96000","12/18/08","70.92","02/04/09","90000"
"826 Windsail Ln Stockton, CA 95206-6201","95206","10/09/08","82900","12/08/08","82.90","02/05/09","88700"
"1772 Decarli St Stockton, CA 95206-5711","95206","11/19/10","125000","04/28/11","59.60","05/24/11","87500"
"943 Kate Linde Cir Stockton, CA 95206-5237","95206","01/28/12","85000","05/07/12","75.19","05/17/12","87000"
"1921 William Moss Blvd Stockton, CA 95206-6025","95206","04/13/11","89950","11/29/11","72.38","12/15/11","87000"
"1235 Lloyd Thayer Cir Stockton, CA 95206-5501","95206","02/13/09","89000","03/19/09","60.42","05/07/09","87000"
"3752 Luisa Kayasso Ln Stockton, CA 95206-5659","95206","04/03/09","85000","04/20/09","58.92","08/20/09","86500"
"3810 Dominique Ln Stockton, CA 95206-6113","95206","07/27/11","87900","09/08/11","71.55","09/28/11","86000"
"3824 Steve Lillie Cir Stockton, CA 95206-5138","95206","11/21/08","83900","05/04/09","50.59","05/27/09","85500"
"1008 Kate Linde Cir Stockton, CA 95206-5239","95206","09/07/11","87950","10/27/11","73.34","02/13/12","85000"
"2004 William Moss Blvd Stockton, CA 95206-6026","95206","04/02/12","90000","06/01/12","69.88","06/12/12","84000"
"4723 Mossbrook Ln Stockton, CA 95206-6232","95206","03/11/09","84900","04/07/09","78.50","09/21/09","84000"
"910 Woodstream St Stockton, CA 95206-6215","95206","01/05/12","88300","02/16/12","78.41","03/07/12","83900"
"902 Kate Linde Cir Stockton, CA 95206-5239","95206","11/24/10","89000","03/13/12","72.04","05/15/12","83500"
"2230 French Camp Turnpike Stockton, CA 95206-3057","95206","09/24/08","79800","10/01/08","63.33","11/17/08","79800"
"485 Yettner Rd French Camp, CA 95231-9741","95231","01/10/13","65000","02/28/13","36.74","04/19/13","61500"
"1744 French Camp Turnpike Stockton, CA 95206-1957","95206","05/12/09","29700","05/19/09","34.18","06/08/09","29700"
"4730 Pennel Ct Stockton, CA 95206-6384","95206","09/14/09","124900","09/22/09","57.31","09/27/09","94500"
"1640 Alcira Nunez St Stockton, CA 95206-5651","95206","12/09/08","99900","12/15/08","74.07","01/16/09","94000"
"1604 Sacchetti Cir Stockton, CA 95206-5646","95206","06/24/11","89000","07/02/11","72.50","08/12/11","92000"
"1443 Lloyd Thayer Cir Stockton, CA 95206-5521","95206","05/21/09","98087","05/22/09","53.31","07/31/09","98087"
"1463 Lloyd Thayer Cir Stockton, CA 95206-5522","95206","01/04/13","105000","01/04/13","56.52","03/13/13","94500"
"3707 Luisa Kayasso Ln Stockton, CA 95206-5656","95206","11/13/08","99900","12/05/08","88.04","02/02/09","95000"
"1250 Boardwalk Dr Stockton, CA 95206-6264","95206","12/11/08","109900","01/30/09","59.41","04/09/09","95000"
"3819 Leilani Ln Stockton, CA 95206-6110","95206","05/28/09","94900","06/15/09","79.03","08/18/09","95000"
"2229 Lydia Bradley St Stockton, CA 95206-6135","95206","07/06/09","125000","07/28/09","53.49","09/14/09","95000"
"3243 Van Eeden Ct Stockton, CA 95206-5550","95206","08/25/09","99750","08/27/09","52.92","10/13/09","95000"
"1518 William Moss Blvd Stockton, CA 95206-5632","95206","10/10/09","85000","10/28/09","88.04","12/30/09","95000"
"3474 Ews Woods Blvd Stockton, CA 95206-5342","95206","01/19/11","125500","03/31/11","58.18","06/08/11","95000"
"3808 Steve Lillie Cir Stockton, CA 95206-5136","95206","02/22/11","90000","07/25/11","69.70","08/12/11","95000"
"1028 Bess Pl Stockton, CA 95206-6254","95206","06/28/11","109900","09/01/11","49.87","09/22/11","95000"
"1664 Alcira Nunez St Stockton, CA 95206-5652","95206","08/05/11","99900","09/01/11","74.86","09/30/11","95000"
"3822 Dominque Ln Stockton, CA 95206-6113","95206","12/01/11","90000","01/18/12","61.01","09/20/12","95000"
"1660 Decarli St Stockton, CA 95206-5710","95206","09/08/08","99900","09/24/08","75.21","11/18/08","95444"
"1526 William Moss Blvd Stockton, CA 95206-5632","95206","07/21/10","115000","08/25/10","75.65","11/17/10","96000"
"3804 Leilani Ln Stockton, CA 95206-6110","95206","07/08/11","99900","11/01/11","67.46","12/27/11","96000"
"1329 Lloyd Thayer Cir Stockton, CA 95206-5510","95206","03/22/11","100000","07/13/11","54.31","08/08/11","97000"
"1928 Gordon Verner Cir Stockton, CA 95206-6121","95206","10/29/10","120000","07/14/11","60.01","08/22/11","98000"
"3803 Loto Ct Stockton, CA 95206-5146","95206","07/21/11","105000","08/04/11","71.90","08/24/11","98000"
"1119 Le Corbusier Ct Stockton, CA 95206","95206","03/26/09","104900","05/20/09","68.70","07/01/09","99000"
"3539 Pottery Ct Stockton, CA 95206-5338","95206","07/23/09","79900","08/04/09","59.10","09/08/09","99000"
"915 Kate Linde Cir Stockton, CA 95206-5233","95206","09/28/09","99000","10/14/09","63.99","11/12/09","99000"
"827 Carrie St Stockton, CA 95206-5428","95206","05/08/09","94100","05/12/09","48.41","05/27/09","99100"
"1118 Le Corbusier Ct Stockton, CA 95206-5204","95206","01/07/09","117700","04/20/09","64.11","05/22/09","99750"
"835 Windsail Ln Stockton, CA 95206-6204","95206","10/07/08","99900","11/24/08","66.51","12/18/08","99900"
"1014 William Moss Blvd Stockton, CA 95206-5220","95206","04/12/09","99900","04/29/09","64.58","06/30/09","99900"
"1633 Alcira Nunez St Stockton, CA 95206-5653","95206","11/28/11","99900","12/28/11","57.02","01/24/12","99900"
"1670 Alcira Nunez St Stockton, CA 95206-5652","95206","11/13/08","99999","01/29/09","57.08","02/13/09","100000"
"3339 Buttrick Ln Stockton, CA 95206-5424","95206","08/30/11","110900","10/07/11","65.26","11/03/11","100500"
"4818 Mossbrook Ln Stockton, CA 95206-6233","95206","01/29/09","98900","02/09/09","62.54","02/26/09","100000"
"2229 Cezanne Ln Stockton, CA 95206-6071","95206","02/13/09","114500","03/09/09","62.58","04/08/09","100000"
"3738 Lady Jane Ln Stockton, CA 95206-6103","95206","09/19/08","99900","03/09/09","70.18","04/14/09","100000"
"1063 Klemeyer Cir Stockton, CA 95206-5205","95206","10/28/08","94900","02/26/09","90.91","04/17/09","100000"
"3251 Warmke Ln Stockton, CA 95206-5700","95206","12/12/11","96000","04/30/12","65.04","04/30/12","96000"
"845 Bess Pl Stockton, CA 95206-6240","95206","09/13/09","130000","09/30/09","66.17","11/20/09","97000"
"702 Villanueva Ct Stockton, CA 95206-5162","95206","11/10/11","97500","02/23/12","72.33","04/06/12","97500"
"4567 Mcdougald Blvd Stockton, CA 95206-6220","95206","06/13/11","94900","06/19/12","80.38","08/10/12","97500"
"1752 William Moss Blvd Stockton, CA 95206-5647","95206","12/05/08","109000","01/06/09","58.50","02/13/09","102500"
"3721 Leilani Ln Stockton, CA 95206-6109","95206","12/10/08","98900","01/12/09","63.23","02/05/09","98000"
"1071 Klemeyer Cir Stockton, CA 95206-5207","95206","02/20/09","91000","05/05/09","80.72","06/20/09","98000"
"1728 William Moss Blvd Stockton, CA 95206-5647","95206","05/01/09","85000","06/23/09","92.68","08/31/09","100000"
"933 Waterford Ave Stockton, CA 95206-6227","95206","11/19/09","94100","12/10/09","82.44","12/23/09","100000"
"743 William Moss Blvd Stockton, CA 95206-5105","95206","09/16/10","115000","02/14/11","59.17","03/30/11","100000"
"1726 Decarli St Stockton, CA 95206-5711","95206","10/01/11","105000","10/13/11","78.80","10/28/11","100000"
"1652 Maude St Stockton, CA 95206-5701","95206","07/12/10","104900","12/26/11","67.75","01/31/12","100000"
"4442 Eiffel Dr Stockton, CA 95206-6148","95206","03/01/12","119900","05/07/12","64.14","05/09/12","100000"
"1253 William Moss Blvd Stockton, CA 95206-5230","95206","03/14/12","108000","06/08/12","69.44","06/08/12","100000"
"3749 Leilani Ln Stockton, CA 95206-6109","95206","02/16/12","115000","03/31/12","64.52","07/11/12","100000"
"856 Windsail Ln Stockton, CA 95206-6201","95206","05/06/12","100000","06/21/12","78.68","07/27/12","100000"
"3384 Grayhouse Ln Stockton, CA 95206-5532","95206","12/12/11","115000","09/13/12","59.81","04/30/13","100000"
"1920 William Moss Blvd Stockton, CA 95206-6025","95206","06/20/11","109000","07/06/12","64.74","07/30/12","100800"
"3536 Ews Woods Blvd Stockton, CA 95206-5343","95206","05/26/09","100000","12/14/09","69.29","12/23/09","100880"
"3893 Jacarandas Ct Stockton, CA 95206-5159","95206","03/03/09","96900","03/10/09","63.98","03/26/09","100900"
"1061 Brick and Tile Cir #Ci Stockton, CA 95206-5318","95206","06/02/11","99900","02/17/12","68.01","03/07/12","101000"
"3340 Doherty Ct Stockton, CA 95206-5715","95206","01/15/09","99900","03/05/09","63.21","04/28/09","101900"
"3780 Steve Lillie Cir Stockton, CA 95206-5124","95206","08/27/08","129500","04/09/09","76.05","04/28/09","100000"
"983 Raysilva Cir Stockton, CA 95206-5312","95206","04/09/09","115000","04/15/09","55.80","05/11/09","100000"
"1082 Brick And Tile Cir Stockton, CA 95206-5328","95206","05/09/09","94900","05/15/09","73.37","06/24/09","100000"
"1927 Flatboat St Stockton, CA 95206-6125","95206","01/28/09","104900","02/09/09","65.51","03/30/09","102000"
"1245 William Moss Blvd Stockton, CA 95206-5230","95206","10/26/10","102000","12/15/10","91.07","02/16/11","102000"
"803 Queensland Cir Stockton, CA 95206-5127","95206","05/04/09","114900","05/15/09","58.24","07/22/09","100000"
"1058 Klemeyer Cir Stockton, CA 95206-5206","95206","03/27/10","109000","04/13/10","66.84","05/21/10","104000"
