"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"6724 Plymouth Rd #85 Stockton, CA 95207-2361","95207","01/25/12","17500","02/01/12","30.36","02/14/12","17000"
"6724 Plymouth Rd #72 Stockton, CA 95207-2346","95207","10/20/10","19900","01/24/11","32.14","02/03/11","18000"
"6724 Plymouth Rd #32 Stockton, CA 95207-2340","95207","06/14/11","18900","02/06/12","32.14","02/23/12","18000"
"6724 Plymouth Rd #95 Stockton, CA 95207-2361","95207","06/16/11","22950","07/01/11","37.50","08/10/11","21000"
"3591 Quail Lakes Dr #206 Stockton, CA 95207-5234","95207","07/09/13","14900","07/19/13","36.36","08/23/13","22250"
"3591 Quail Lakes Dr #76 Stockton, CA 95207-5234","95207","12/14/10","22500","01/14/11","36.76","03/07/11","22500"
"6724 Plymouth Rd #49 Stockton, CA 95207-2343","95207","11/01/12","25900","01/29/13","41.07","03/06/13","23000"
"6724 Plymouth Rd #78 Stockton, CA 95207-2347","95207","12/09/10","24900","12/30/10","32.76","01/13/11","24900"
"6724 Plymouth Rd #17 Stockton, CA 95207-2361","95207","01/11/10","27500","05/24/10","44.64","06/03/10","25000"
"6724 Plymouth Rd #6 Stockton, CA 95207-2336","95207","10/21/10","29500","01/10/11","32.89","02/15/11","25000"
"6724 Plymouth Rd #98 Stockton, CA 95207-2350","95207","03/31/11","27000","07/11/11","32.89","08/12/11","25000"
"6724 Plymouth Rd #15 Stockton, CA 95207-2361","95207","09/27/12","28000","10/19/12","44.64","10/31/12","25000"
"3591 Quail Lakes Drive Dr #198 Stockton, CA 95207-5234","95207","10/19/13","25000","10/21/13","40.85","11/05/13","25000"
"3591 Quail Lakes Dr #203 Stockton, CA 95207","95207","10/14/11","25000","11/21/11","42.48","11/23/11","26000"
"3591 Quail Lakes Dr #145 Stockton, CA 95207-5234","95207","04/17/12","24900","06/13/12","44.37","06/14/12","26000"
"6724 Plymouth Rd #48 Stockton, CA 95207-2343","95207","10/29/12","25500","03/05/13","46.43","03/14/13","26000"
"6724 Plymouth Rd #61 Stockton, CA 95207-2345","95207","04/17/11","27900","04/19/11","36.71","05/13/11","27900"
"3591 Quail Lakes Dr #183 Stockton, CA 95207-5234","95207","10/15/10","29900","12/28/10","47.78","02/01/11","28000"
"6724 Plymouth Rd #34 Stockton, CA 95207-2340","95207","11/29/10","28000","12/01/11","50.00","01/09/12","28000"
"6724 Plymouth Rd #37 Stockton, CA 95207-2341","95207","10/07/10","27000","11/03/10","37.50","11/19/10","28500"
"3591 Quail Lakes Dr #127 Stockton, CA 95207-5234","95207","08/29/12","28500","12/12/12","48.63","01/25/13","28500"
"6724 Plymouth Rd #55 Stockton, CA 95207-2344","95207","07/29/13","29900","08/13/13","50.89","09/17/13","28500"
"6724 Plymouth Rd #38 Stockton, CA 95207-2341","95207","03/29/11","29500","05/26/11","38.82","06/02/11","29500"
"6724 Plymouth Rd #54 Stockton, CA 95207-2343","95207","10/08/08","29900","04/10/09","53.39","05/12/09","29900"
"6724 Plymouth Rd #92 Stockton, CA 95207-2349","95207","12/23/11","33000","04/27/12","53.57","05/17/12","30000"
"6724 Plymouth Rd #22 Stockton, CA 95207-2339","95207","12/03/13","29900","12/16/13","53.57","12/27/13","30000"
"6724 Plymouth Rd #62 Stockton, CA 95207-2345","95207","02/07/12","23500","02/14/12","39.80","03/15/12","30250"
"3591-#30 Quail Lakes Dr Stockton, CA 95207-5234","95207","11/03/08","29000","12/17/08","39.34","03/13/09","31000"
"3591 Quail Lakes Dr #100 Stockton, CA 95207-5234","95207","12/15/08","45000","03/13/09","51.47","05/06/09","31500"
"2214 Piccardo Cir Stockton, CA 95207-6578","95207","08/08/12","49000","08/21/12","35.79","08/31/12","32000"
"3591 Quail Lakes Dr #128 Stockton, CA 95207-5234","95207","01/25/13","32900","02/16/13","54.61","04/16/13","32000"
"6724 Plymouth Rd #103 Stockton, CA 95207-2361","95207","02/01/11","32100","02/14/11","42.24","03/04/11","32100"
"999 Porter Ave #23 Stockton, CA 95207-4278","95207","07/05/11","34900","09/12/11","33.82","10/05/11","32500"
"3591 Quail Lakes Dr #205 Stockton, CA 95207-5284","95207","04/08/10","34900","05/17/10","53.71","06/11/10","32870"
"6724 Plymouth Rd #101 Stockton, CA 95207-2350","95207","02/11/11","33000","02/25/11","43.42","03/29/11","33000"
"2921 Rutledge Ct Stockton, CA 95207-3235","95207","03/10/11","45000","02/24/12","36.67","02/24/12","33000"
"6724 Plymouth Rd #45 Stockton, CA 95207-2342","95207","11/11/09","34900","11/25/09","60.71","01/11/10","34000"
"1832 Polk Way Stockton, CA 95207-4008","95207","11/04/11","30000","11/18/11","27.91","12/23/11","34000"
"999 Porter Ave #14 Stockton, CA 95207-4276","95207","09/29/11","33000","07/24/12","35.38","08/09/12","34000"
"3591 Quail Lakes Dr #99 Stockton, CA 95207-5234","95207","03/03/10","34900","06/17/10","57.19","07/30/10","35000"
"6724 Plymouth Rd #5 Stockton, CA 95207-2361","95207","05/18/13","35000","06/03/13","44.59","08/23/13","35000"
"6724 Plymouth Rd #29 Stockton, CA 95207-2361","95207","11/05/13","39000","12/12/13","62.50","01/09/14","35000"
"1918 Rosemarie Ln #107 Stockton, CA 95207-8803","95207","05/20/12","45000","06/01/12","36.03","07/20/12","35199"
"3591 Quail Lakes Dr #46 Stockton, CA 95207-5255","95207","06/02/11","36000","08/30/11","45.69","10/14/11","36000"
"3591 Quail Lakes Dr #272 Stockton, CA 95207-5234","95207","03/21/12","38000","04/10/12","39.60","05/16/12","36000"
"2915 prentiss Stockton, CA 95207","95207","02/03/12","39950","02/10/12","40.00","05/25/12","36000"
"3591 Quail Lakes Dr #106 Stockton, CA 95207-5234","95207","02/14/12","34900","04/17/12","39.87","06/05/12","36000"
"6724 Plymouth Rd #6 Stockton, CA 95207-2336","95207","08/02/12","39000","08/30/12","47.37","11/01/12","36000"
"3591 Quail Lakes Dr #213 Stockton, CA 95207-5234","95207","01/20/12","39900","03/16/12","46.95","05/03/12","37000"
"6724 Plymouth Rd #101 Stockton, CA 95207-2361","95207","01/06/13","37000","02/01/13","48.68","02/27/13","37000"
"3591 Quail Lakes Dr #42 Stockton, CA 95207-5234","95207","02/27/12","39100","03/06/12","41.19","04/20/12","37199"
"3591 Quail Lakes Dr #62 Stockton, CA 95207-5234","95207","10/05/11","39900","10/19/11","42.08","12/02/11","38000"
"6103 Plymouth Rd Stockton, CA 95207","95207","06/04/13","89900","11/14/13","42.22","11/26/13","38000"
"3591 Quail Lakes Dr #71 Stockton, CA 95207-5234","95207","05/17/11","39900","06/17/11","42.30","07/13/11","38200"
"3591 Quail Lakes Dr #74 Stockton, CA 95207-5234","95207","08/29/11","39000","09/13/11","43.41","11/09/11","39199"
"3591 Quail Lakes Dr #7 Stockton, CA 95207-5250","95207","10/27/09","42000","12/15/09","50.63","02/08/10","39900"
"3591 Quail Lakes Dr #98 Stockton, CA 95207-5281","95207","05/26/10","39900","06/01/10","44.19","06/21/10","39900"
"6724 Plymouth Rd #26 Stockton, CA 95207-2339","95207","09/09/08","40000","09/22/08","71.43","11/10/08","40000"
"3591 Quail Lakes Dr #31 Stockton, CA 95207-5234","95207","12/05/08","44900","03/03/09","44.30","03/31/09","40000"
"3591 Quail Lakes Dr #61 Stockton, CA 95207-5234","95207","02/01/10","39900","03/04/10","44.30","03/26/10","40000"
"999 Porter Ave #22 Stockton, CA 95207-4278","95207","08/11/10","40000","10/30/10","33.11","11/30/10","40000"
"3591 Quail Lakes Dr #285 Stockton, CA 95207-5234","95207","03/07/11","39900","06/10/11","44.30","07/29/11","40000"
"3591 Quail Lakes Dr #171 Stockton, CA 95207-5234","95207","06/20/11","44900","07/20/11","50.76","08/31/11","40000"
"3591 Quail Lakes Dr #258 Stockton, CA 95207-5234","95207","01/26/12","46900","03/27/12","44.30","04/27/12","40000"
"3591 Quail Lakes Dr #167 Stockton, CA 95207-5234","95207","11/17/11","39000","06/29/12","44.30","09/24/12","40000"
