Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"2421 Country Club Blvd #3 Stockton, CA 95204-4726",95204,3/17/2012,13500,3/29/2012,10.26,5/3/2012,9000
"545 N American St Stockton, CA 95202-2120",95202,12/20/2011,19900,7/3/2012,9.86,7/26/2012,11500
"2940 Peachtree Dr #4 Stockton, CA 95203-1041",95203,1/19/2009,15900,3/24/2009,16.23,6/25/2009,15000
"2420 Oxford Way #17 Stockton, CA 95204-4061",95204,4/18/2011,25000,12/4/2011,17.71,2/14/2012,15250
"2936 Peachtree Dr Stockton, CA 95203-1040",95203,7/7/2008,15900,10/27/2008,17.32,12/22/2008,16000
"2911 Toyon Dr #4 Stockton, CA 95203-1054",95203,1/17/2009,16900,1/21/2009,17.32,3/26/2009,16000
"1251 Pinetree Dr #2 Stockton, CA 95203-1048",95203,12/15/2009,16500,12/28/2009,19.64,2/26/2010,16500
"1402 Occidental Ave Stockton, CA 95203-1030",95203,12/4/2008,25000,2/6/2009,20.24,4/8/2009,17000
"1260 Occidental Ave Stockton, CA 95203-1025",95203,12/4/2008,25000,4/27/2009,20.24,5/6/2009,17000
"1308 Occidental Ave #4 Stockton, CA 95203-1026",95203,8/27/2009,16900,9/22/2009,18.4,11/2/2009,17000
"2420 Oxford Way #41 Stockton, CA 95204-4045",95204,1/8/2011,22000,1/27/2011,19.86,3/25/2011,17100
"2931 Monte Diablo Ave Stockton, CA 95203-1134",95203,3/14/2011,15000,4/12/2011,20.83,4/27/2011,17500
"2947 Monte Diablo Ave #3 Stockton, CA 95203-1137",95203,1/25/2011,24000,4/19/2011,21.43,4/20/2011,18000
"1715 W Harding Way Stockton, CA 95203-1515",95203,3/7/2012,19950,3/8/2012,12.03,10/18/2012,18000
"1212 Occidental Ave #3 Stockton, CA 95203-1019",95203,6/23/2008,24900,9/30/2008,22.02,10/27/2008,18500
