Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"1840 Dove Ct Lodi, CA 95240-8860",95240,1/6/2009,237500,1/9/2009,160.6,1/23/2009,225000
"1965 Plymouth Way Lodi, CA 95242-4771",95242,1/7/2009,236900,1/16/2009,157.67,2/6/2009,225000
"1726 Colombard Cir Lodi, CA 95240-6105",95240,12/5/2008,179900,12/12/2008,115.85,2/3/2009,182000
"264 Meadowlark Way Lodi, CA 95240-7875",95240,12/5/2008,204900,12/15/2008,157.19,2/10/2009,210000
"600 Daisy Ave Lodi, CA 95240-0941",95240,11/17/2008,160000,11/21/2008,137.22,12/30/2008,160000
"2448 Felino Ln Lodi, CA 95240-8909",95240,1/13/2009,219000,8/18/2009,101.91,8/18/2009,203000
"1821 Reisling Dr Lodi, CA 95240-6114",95240,11/21/2008,235000,12/15/2008,151.02,1/16/2009,230000
"1436 W Locust St Lodi, CA 95242-2939",95242,11/21/2008,230000,11/26/2008,203.9,12/24/2008,230000
"1833 Burgundy Dr Lodi, CA 95242-4520",95242,12/11/2008,235000,1/27/2009,144.93,3/13/2009,230000
"607 Corfino Ln Lodi, CA 95240-8913",95240,12/18/2008,205000,3/1/2009,114.75,4/2/2009,196000
"428 Louie Ave Lodi, CA 95240-1052",95240,12/18/2008,145000,4/7/2009,128.21,5/19/2009,135000
"717 Rimby Ave Lodi, CA 95240-6015",95240,12/18/2008,149900,1/29/2009,121.4,3/12/2009,156000
"820 W Tokay St Lodi, CA 95240-3928",95240,12/29/2008,164900,4/9/2009,143.22,5/21/2009,170000
"2054 Wyndham Way Lodi, CA 95242-4807",95242,12/29/2008,298800,1/13/2009,124.02,2/20/2009,301000
"1627 Camphor Way Lodi, CA 95242-4421",95242,12/29/2008,228000,3/24/2009,146.81,4/14/2009,228000
"333 E Tokay St Lodi, CA 95240-4148",95240,12/30/2008,162000,1/15/2009,93.75,2/13/2009,150000
"415 Howard St Lodi, CA 95242-2506",95242,12/9/2008,148000,3/16/2010,123.28,4/9/2010,152000
"423 W Locust St Lodi, CA 95240",95240,12/8/2008,264900,12/16/2008,133.33,1/16/2009,300000
"111 Lark St Woodbridge, CA 95258-9722",95258,12/10/2008,184900,12/17/2008,137.14,1/26/2009,185000
"648 Daisy Ave Lodi, CA 95240-0941",95240,12/11/2008,174900,1/15/2009,126.96,2/20/2009,186000
"753 S Orange Ave Lodi, CA 95240-4637",95240,12/15/2008,147000,12/19/2008,149.6,1/23/2009,225000
"1007 Lincoln Ave Lodi, CA 95240-0501",95240,12/10/2008,120000,12/24/2008,123.24,2/11/2009,140000
"815 Brandywine Dr Lodi, CA 95240-7415",95240,11/30/2008,190000,4/8/2009,137.04,5/21/2009,166500
"406 N Plumas Way Lodi, CA 95242-2621",95242,12/16/2008,157900,5/5/2009,126.6,7/24/2009,168000
"207 1st St Lodi, CA 95240-1143",95240,12/16/2008,139900,1/14/2009,91.64,5/1/2009,149000
"2320 Aladdin Way Lodi, CA 95242-2803",95242,1/18/2009,219000,2/11/2009,147.29,3/13/2009,190000
"2440 Summerset Ct Lodi, CA 95242-3652",95242,1/19/2009,299950,2/23/2010,165.17,3/12/2010,299950
"18773 N Olive St Woodbridge, CA 95258-9282",95258,1/20/2009,179900,2/26/2009,122.86,5/26/2009,172000
"2517 Winchester St Lodi, CA 95240-7100",95240,2/6/2009,170000,3/12/2010,115.88,3/23/2010,170000
"1700 Corbin Ln Lodi, CA 95242-3413",95242,1/21/2009,247000,3/20/2009,139.95,4/17/2009,220000
"1417 Midvale Rd Lodi, CA 95240-0509",95240,1/21/2009,399000,2/23/2009,155.06,4/1/2009,325000
"2418 S Ham Ln Lodi, CA 95242-4547",95242,1/21/2009,199900,1/31/2009,129.9,2/13/2009,202000
"526 Schaffer Dr Lodi, CA 95240-8866",95240,1/26/2009,258000,3/18/2009,177.91,5/1/2009,240000
"437 Via Marco Ln Lodi, CA 95240-8900",95240,12/31/2008,193800,1/8/2009,104.8,2/10/2009,190000
"2453 Felino Ln Lodi, CA 95240-8909",95240,1/2/2009,189000,1/21/2009,107.01,3/6/2009,194000
"741 S Crescent Ave Lodi, CA 95240-4630",95240,2/12/2009,189900,2/18/2009,113.7,4/8/2009,212500
"233 N Fairmont Ave Lodi, CA 95240-1819",95240,1/8/2009,156750,4/17/2009,101.62,4/30/2009,150500
"533 Tuscolana Way Lodi, CA 95240-8912",95240,2/14/2009,174900,7/1/2009,105.39,7/24/2009,180000
"2128 Newbury Cir Lodi, CA 95240-6613",95240,1/9/2009,141455,5/27/2009,105.98,6/12/2009,140000
"1035 Downing Dr Lodi, CA 95242-3818",95242,1/8/2009,217900,3/10/2009,153.61,4/23/2009,200000
"741 Golden Ave Lodi, CA 95240-0621",95240,1/27/2009,134900,2/9/2009,117.5,4/3/2009,137000
"512 Lincoln Ave Lodi, CA 95240-1025",95240,1/13/2009,168000,3/4/2009,157.26,4/17/2009,170000
