"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"4421 S Escalon Bellota Rd Farmington, CA 95230-9557","95230","08/05/11","56000","09/16/11","37.50","10/21/11","54000"
"25545 E Highway 4 Farmington, CA 95230","95230","02/03/12","79900","05/24/12","26.08","06/08/12","57750"
"25605 E Highway 4 Farmington, CA 95230","95230","03/07/11","69000","03/18/11","88.76","05/10/11","60000"
"26086 Groves Rd Farmington, CA 95230-9559","95230","07/25/11","82500","08/19/11","75.00","09/14/11","75000"
"5091 Harrison St Linden, CA 95236-9546","95236","07/07/10","80000","07/22/10","115.23","07/30/10","88500"
"5067 Cady Ln Linden, CA 95236-9777","95236","04/07/11","76850","05/04/11","101.04","05/27/11","94777"
"19279 E Front St Linden, CA 95236-9527","95236","12/05/08","93900","01/08/09","97.22","02/09/09","105000"
"18175 E Front St Linden, CA 95236-9701","95236","09/12/11","100000","09/28/11","71.72","10/26/11","105000"
"4188 S Escalon Bellota Rd Farmington, CA 95230-9555","95230","11/25/10","108000","04/18/11","62.56","06/02/11","108100"
"18875 Grace St Linden, CA 95236-9697","95236","01/10/13","110000","01/17/13","145.89","01/31/13","110000"
"19355 E Front St Linden, CA 95236-9593","95236","11/09/09","114900","11/30/09","80.79","12/21/09","114000"
"18751 Grace St Linden, CA 95236-9632","95236","02/13/14","125000","02/19/14","79.37","04/28/14","120000"
"27112 E Shelton Rd Linden, CA 95236-9458","95236","06/24/11","125900","08/24/12","89.93","09/21/12","125900"
"600 S Hewitt Rd Linden, CA 95236-9694","95236","07/01/10","129900","07/26/10","147.73","08/20/10","130000"
"18587 Grace Linden, CA 95236","95236","09/10/13","149000","12/13/13","128.24","01/23/14","133500"
"18732 E Front St Linden, CA 95236-9532","95236","02/03/10","149000","06/02/10","114.00","07/26/10","136000"
"14701 Copperopolis Rd Stockton, CA 95215-9714","95215","10/22/10","139900","11/05/10","76.84","11/19/10","140000"
"4474 S Escalon Bellota Rd Farmington, CA 95230-9557","95230","01/12/10","175000","05/20/11","104.63","06/09/11","140000"
"19189 E Front St Linden, CA 95236-9528","95236","03/31/11","149950","06/30/11","112.27","08/10/11","140000"
"18575 Grace St Linden, CA 95236-9632","95236","08/22/11","150900","09/14/11","104.02","11/21/11","145000"
