"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"5328 Black Oak Dr Stockton, CA 95212-2533","95212","01/01/15","765000","01/19/15","266.67","03/06/15","720000"
"6368 Hidden Acres Rd, Stockton, CA 95212-9421","95212","01/02/15","455000","07/11/15","157.28","08/28/15","455000"
"6420 E Morada Ln, Stockton, CA 95212-9485","95212","01/13/15","384950","01/22/16","171.91","03/03/16","350000"
"10234 Chantel Ln, Stockton, CA 95212","95212","01/24/15","795000","07/03/15","168.60","08/17/15","725000"
"8432 Meath Dr, Stockton, CA 95212-1918","95212","01/29/15","469000","04/23/15","132.02","06/05/15","435000"
"4620 Shippee Lane Stockton, CA 95212-1919","95212","01/29/15","447895","02/16/15","168.32","03/25/15","425000"
"5031 Tudor Rose, Stockton, CA 95212-9239","95212","02/27/15","599888","05/15/15","123.13","06/11/15","589900"
"9603 Trenton Way Stockton, CA 95212","95212","03/01/15","389000","04/10/15","190.58","05/14/15","360000"
"9030 Frankford Ln, Stockton, CA 95212-2313","95212","03/05/15","450000","04/08/15","200.55","05/26/15","435000"
"10116 E Eight Mile Rd, Stockton, CA 95212-9294","95212","02/28/15","399000","04/23/15","258.28","05/29/15","390000"
"9229 valley Dr Stockton, CA 95212","95212","03/20/15","399000","03/30/15","352.47","04/29/15","399000"
"5053 Manor Cir, Stockton, CA 95212-1914","95212","04/02/15","549000","04/20/15","177.33","06/05/15","549000"
"6102 Roberta Ct Stockton, CA 95212-9445","95212","10/30/12","549950","12/14/12","106.38","01/25/13","500000"
"9559 Cole Dr Stockton, CA 95212-2010","95212","11/06/12","399950","05/24/13","85.71","06/14/13","400000"
"10510 Oakwilde Ave Stockton, CA 95212-9240","95212","11/16/12","549900","05/11/13","211.81","07/01/13","520000"
"7922 E Eight Mile Rd Stockton, CA 95212-9303","95212","11/26/12","499900","02/11/13","122.34","03/13/13","529000"
"5109 Tudor Rose Glen Stockton, CA 95212-9209","95212","12/26/12","695000","09/05/13","170.38","09/25/13","695000"
"4603 Tudor Rose Stockton, CA 95212-9255","95212","05/09/12","709000","07/23/12","116.21","09/25/12","709000"
"5425 El Greco Dr Stockton, CA 95212-9334","95212","01/02/13","549900","02/07/13","121.92","04/10/13","535000"
"9148 Alhambra Ave Stockton, CA 95212-9429","95212","06/11/12","469950","09/30/12","162.90","11/07/12","469000"
"8977 Maranon Dr Stockton, CA 95212-1413","95212","01/04/13","647500","01/18/13","189.33","03/19/13","647500"
"4953 Tudor Rose Stockton, CA 95212-9253","95212","01/09/13","821888","07/25/13","128.86","11/19/14","821888"
"4516 Hildreth Ln Stockton, CA 95212-1407","95212","01/09/13","699000","04/09/13","167.40","05/13/13","689000"
