"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"3027 Scarlet Oak Dr Stockton, CA 95209-3918","95209","05/10/11","110000","06/21/11","74.67","10/05/11","120000"
"3145 English Oak Cir Stockton, CA 95209-3921","95209","09/07/09","125000","09/11/09","78.41","10/05/09","126000"
"3009 Dusty Ct Stockton, CA 95209-3814","95209","05/14/11","127900","08/17/11","83.82","09/08/11","128000"
"3698 Hepburn Cir Stockton, CA 95209-3909","95209","05/31/10","134900","10/05/11","94.53","10/31/11","133000"
"10339 Point Reyes Cir Stockton, CA 95209-4149","95209","05/14/10","139000","05/18/10","94.94","08/18/10","135000"
"10439 River Oaks Dr Stockton, CA 95209-4143","95209","03/14/11","135000","03/14/11","94.94","05/16/11","135000"
"3129 English Oak Cir Stockton, CA 95209-3921","95209","01/24/09","179900","04/21/09","65.53","06/12/09","135000"
"10540 Rudder Way Stockton, CA 95209-4349","95209","02/28/12","134900","04/06/12","85.50","09/20/12","138000"
"3679 Ignacio Cir Stockton, CA 95209-3900","95209","04/06/11","129900","07/19/11","99.63","08/29/11","134000"
"3316 Gable Ct Stockton, CA 95209-3903","95209","07/13/11","134500","02/27/12","102.31","03/28/12","133000"
"3440 Hepburn Cir Stockton, CA 95209-3912","95209","04/20/09","129200","05/29/09","102.31","06/26/09","133000"
"3229 English Oak Cir Stockton, CA 95209-3920","95209","01/31/12","134000","04/28/12","86.11","06/21/12","132000"
"10529 Sandberg Ln Stockton, CA 95209-3744","95209","05/18/11","135000","10/21/11","92.96","11/04/11","132000"
"10617 Davis Rd Stockton, CA 95209-4322","95209","07/28/09","125000","05/07/10","82.55","06/28/10","131000"
"10205 Garbo Ct Stockton, CA 95209-3911","95209","04/02/09","129000","04/20/09","81.88","08/16/09","131000"
"10794 Pleasant Valley Cir Stockton, CA 95209-3722","95209","01/24/13","156800","03/18/13","88.74","06/28/13","130000"
"3089 White Oak Dr Stockton, CA 95209-3917","95209","05/03/12","129000","05/05/12","91.04","06/29/12","130000"
"3421 Hepburn Cir Stockton, CA 95209-3912","95209","02/10/12","140000","07/17/12","89.92","08/08/12","140000"
"3118 English Oak Cir Stockton, CA 95209-3921","95209","05/11/11","138000","10/17/11","63.05","11/14/11","130000"
"5261 Loki Ln Stockton, CA 95219-7245","95219","03/23/11","134900","07/07/11","78.08","09/09/11","130000"
"10724 Siskiyou Ln Stockton, CA 95209-3802","95209","12/13/10","135000","09/08/11","83.82","10/14/11","128000"
