"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"3419 Sunny Rd Stockton, CA 95215-8319","95215","09/19/11","54900","10/06/11","39.97","10/14/11","55000"
"4224 Marfargoa Rd Stockton, CA 95215-8243","95215","06/11/09","71250","06/17/09","33.20","07/24/09","58000"
"3409 Carpenter Rd Stockton, CA 95215-8104","95215","10/26/10","59000","11/16/10","76.23","12/31/10","59000"
"4566 Carpenter Rd Stockton, CA 95215-8110","95215","07/23/10","59900","08/03/10","50.04","09/09/10","60000"
"3726 Arch Rd Stockton, CA 95215-8329","95215","05/02/10","74900","06/16/10","49.79","07/16/10","60500"
"4431 Carpenter Rd Stockton, CA 95215-8145","95215","11/17/09","104500","01/27/10","94.75","02/16/10","65000"
"3739 Carpenter Rd Stockton, CA 95215-8117","95215","08/18/09","69900","12/03/09","78.13","12/28/09","70000"
"5523 Carpenter Rd Stockton, CA 95215-8102","95215","09/06/11","76500","09/19/11","79.65","09/28/11","72000"
"3686 Arch Rd Stockton, CA 95215-8314","95215","07/01/09","74900","07/17/09","72.38","07/28/09","78750"
"3409 Carpenter Rd Stockton, CA 95215-8104","95215","01/16/12","80000","02/06/12","103.36","02/21/12","80000"
"4540 Carpenter Rd, Stockton, CA 95215-8110","95215","01/17/14","85000","02/17/15","96.15","07/28/15","80000"
"3685 Marfargoa Rd Stockton, CA 95215-8217","95215","11/28/12","82000","02/05/13","77.80","04/04/13","82000"
"4531 Carpenter Rd Stockton, CA 95215-8146","95215","09/10/10","88900","09/23/10","64.31","10/20/10","84050"
"3628 Munford Ave Stockton, CA 95215-8121","95215","09/24/09","84900","10/09/09","51.67","10/27/09","84900"
"5747 Carpenter Rd Stockton, CA 95215-8101","95215","08/12/11","90000","09/06/11","67.30","09/20/11","92000"
"3647 Sunny Rd, Stockton, CA 95215-8304","95215","08/09/15","85000","08/15/15","100.76","10/05/15","93000"
"5062 Highway 99 Stockton, CA 95215","95215","02/10/09","94900","03/16/09","93.78","05/19/09","95000"
"3912 Sunny Rd Stockton, CA 95215-8305","95215","06/15/12","97000","06/22/12","151.56","08/31/12","97000"
"3744 Arch Rd Stockton, CA 95215-8329","95215","04/21/10","94500","04/30/10","62.03","08/13/10","99000"
"4451 Marfargoa Rd Stockton, CA 95215-8213","95215","08/18/10","99900","12/14/10","106.15","04/04/11","107000"
"3760 Sunny Rd Stockton, CA 95215-8303","95215","01/28/09","109900","05/28/09","85.27","08/19/09","110000"
"4112 E Mariposa Rd Stockton, CA 95215-8128","95215","01/26/15","113900","02/04/15","68.07","02/25/15","110000"
"4453 Carpenter Rd Stockton, CA 95215-8145","95215","10/03/14","105000","10/10/14","102.78","10/24/14","111000"
"4425 Marfargoa Rd Stockton, CA 95215-8213","95215","09/12/12","114900","10/01/12","83.02","03/29/13","114900"
"3729 Three Oaks Rd Stockton, CA 95215-8114","95215","09/18/09","109900","09/30/09","100.40","11/02/09","125000"
"3845 Sunny Rd Stockton, CA 95215-8306","95215","09/15/09","127768","01/05/10","65.82","02/05/10","125000"
"5084 S State Route 99 E Fron Rd Stockton, CA 95215","95215","04/04/11","150000","04/21/11","72.25","05/09/11","125000"
"3428 Sunny Rd Stockton, CA 95215-8316","95215","08/16/11","108200","08/26/11","73.44","10/25/11","125000"
"4234 Marfargoa Rd, Stockton, CA 95215-8243","95215","07/01/16","144950","07/07/16","111.61","07/27/16","125000"
"4208 Marfargoa Rd Stockton, CA 95215-8243","95215","05/12/09","115000","05/27/09","132.29","07/01/09","127000"
"4347 Marfargoa Rd Stockton, CA 95215-8213","95215","03/16/09","124900","04/07/09","111.30","05/29/09","130000"
