"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"1602 N Golden Gate Ave Stockton, CA 95205-3021","95205","12/27/12","19500","01/25/13","21.36","01/31/13","11000"
"1923 E Market St Stockton, CA 95205-5626","95205","10/24/12","17000","01/18/13","11.62","01/24/13","17000"
"408 S Sinclair Ave Stockton, CA 95215-5839","95215","09/12/12","25000","10/16/12","27.27","11/07/12","18000"
"1711 Sunset Ave Stockton, CA 95205-2909","95205","02/03/09","18900","05/12/09","22.24","05/29/09","18900"
"2275 E Washington St Stockton, CA 95205-5663","95205","03/22/12","19950","05/30/12","17.99","06/08/12","19000"
"2160 E Weber Ave Stockton, CA 95205-5050","95205","11/17/12","24900","01/09/13","64.19","01/31/13","19000"
"1619 Pinchot St Stockton, CA 95205-3716","95205","12/31/08","19900","04/04/09","20.14","04/17/09","19900"
"2520 E Lindsay St Stockton, CA 95205-4620","95205","11/10/08","20000","11/11/08","29.07","11/28/08","20000"
"1745 E Flora St Stockton, CA 95205-4202","95205","11/03/08","48300","12/24/08","17.73","01/30/09","20000"
"1743 Sycamore Ave Stockton, CA 95205-3431","95205","10/27/08","28000","01/28/09","30.49","02/20/09","20000"
"1561 N Filbert St Stockton, CA 95205-3519","95205","09/29/09","18900","10/01/09","44.74","10/20/09","20000"
"628 N Gratton Ave Stockton, CA 95205-4313","95205","02/03/12","35000","02/16/12","14.96","03/09/12","20000"
"625 S Coolidge Ave Stockton, CA 95215-5225","95215","11/22/11","24900","02/21/12","23.31","03/12/12","20000"
"5276 E Dana Ave Stockton, CA 95215-5409","95215","02/20/13","39900","02/27/13","24.51","05/17/13","20000"
"2336 E Alpine Ave Stockton, CA 95205-2523","95205","03/31/11","17500","04/01/11","32.84","04/12/11","20100"
"2392 E Market St Stockton, CA 95205-5635","95205","01/15/10","29900","02/24/10","21.85","03/24/10","22000"
"5266 E Lafayette St Stockton, CA 95215-5425","95215","03/05/12","27950","06/28/12","36.06","07/18/12","22500"
"1749 S Drake Ave Stockton, CA 95215","95215","05/14/13","20000","05/15/13","14.52","07/25/13","22500"
"2419 Mistletoe Ave Stockton, CA 95205-2621","95205","12/15/09","22900","03/01/10","24.62","03/26/10","22900"
"1545 Belvedere Ave Stockton, CA 95205-3503","95205","08/19/08","22900","12/04/08","29.11","01/09/09","23000"
"937 N Airport Way Stockton, CA 95205-4108","95205","09/09/08","29900","02/26/09","18.23","03/30/09","23000"
"1600 Sierra Ln Stockton, CA 95205-3571","95205","11/17/08","24900","01/06/09","17.03","01/29/09","23500"
"1416 N Filbert St Stockton, CA 95205-3518","95205","09/04/08","26000","10/20/08","35.87","11/14/08","24000"
"315 S Thelma Ave Stockton, CA 95215-5932","95215","12/05/08","19900","12/11/08","35.71","01/09/09","24000"
"234 S Sinclair Ave Stockton, CA 95215","95215","11/21/08","24900","01/22/09","36.81","02/27/09","24000"
"1439 Rhode Island Ave Stockton, CA 95205-3548","95205","12/21/08","24800","02/23/09","21.13","03/27/09","24000"
"512 Burkett Ave Stockton, CA 95205-6514","95205","12/11/08","29900","01/01/09","23.25","01/27/09","24950"
