"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"3702 Benjamin Holt Dr #18 Stockton, CA 95219","95219","11/30/11","29900","02/06/12","35.56","03/02/12","23400"
"3770 W Benjamin Holt Dr #6 Stockton, CA 95219","95219","03/30/12","24500","10/15/12","38.75","11/16/12","25500"
"7342 Lighthouse Dr Stockton, CA 95219-4560","95219","10/29/12","30000","11/01/12","40.07","12/03/12","35500"
"3770 W Benjamin Holt Dr #11 Stockton, CA 95219-3342","95219","08/16/11","39900","01/30/12","35.57","02/07/12","35608"
"8667 Mariners Dr #56 Stockton, CA 95219-4512","95219","07/28/10","44900","09/30/10","54.43","10/26/10","37500"
"8667 Mariners Dr #38 Stockton, CA 95219-4511","95219","12/14/09","43000","12/30/09","46.63","01/26/10","38000"
"6536 Embarcadero Dr #18 Stockton, CA 95219-3349","95219","12/04/11","39900","01/12/12","57.75","04/06/12","38000"
"3720 W Benjamin Holt Dr #7 Stockton, CA 95219-3337","95219","10/08/10","42500","10/30/10","60.79","11/30/10","40000"
"6536 Embarcadero Dr Stockton, CA 95219-3377","95219","12/04/10","40500","01/12/11","61.55","03/04/11","40500"
"8667 Mariners Dr #34 Stockton, CA 95219-4511","95219","07/14/11","41000","08/08/11","47.07","08/10/11","41000"
"3702 W Benjamin Holt Dr #16 Stockton, CA 95219-3333","95219","10/04/12","39950","01/08/13","62.31","01/22/13","41000"
"8667 Mariners Dr ##51 Stockton, CA 95219-4509","95219","02/24/10","48960","03/04/10","60.23","04/06/10","41500"
"6900 Sumter Quay Cir Stockton, CA 95219-3151","95219","09/30/10","42300","07/21/11","32.97","08/31/11","42300"
"3660 W Benjamin Holt Dr #2 Stockton, CA 95219-3383","95219","01/21/11","44900","04/14/11","64.59","04/28/11","42500"
"8667 Mariners Dr #15 Stockton, CA 95219-4509","95219","11/06/09","44900","01/29/10","55.09","03/12/10","44900"
"6536 Embarcadero Dr #6 Stockton, CA 95219-3350","95219","08/29/12","44900","12/11/12","68.24","01/04/13","44900"
"6854 Allegheny Ct Stockton, CA 95219-3509","95219","08/11/10","63300","04/04/11","47.38","04/18/11","47000"
"8667 Mariners Dr #49 Stockton, CA 95219-4512","95219","04/04/11","44900","04/15/11","51.56","04/29/11","48000"
"6801 Mill Springs Ct Stockton, CA 95219-3223","95219","05/19/11","58000","10/06/11","38.55","10/31/11","48000"
"8667 Mariners Dr #69 Stockton, CA 95219-4513","95219","07/09/11","47500","10/18/11","54.01","10/25/11","48500"
"3722 W Ben Holt 11 Dr Stockton, CA 95219","95219","11/24/09","55290","03/10/10","49.95","03/26/10","50000"
"8667 Mariners Dr #46 Stockton, CA 95219-4509","95219","12/15/10","52000","03/14/11","61.35","03/22/11","50000"
"8667 Mariners Dr #37 Stockton, CA 95219-4511","95219","09/07/13","45000","09/20/13","72.57","02/18/14","50000"
