"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"4520 Suburban Rd Stockton, CA 95215-1828","95215","09/18/10","79900","10/19/10","87.45","11/24/10","85000"
"7333 E Highway 26 Stockton, CA 95215-9533","95215","05/13/11","89260","07/01/11","66.26","07/28/11","87000"
"52 S Patrick Rd Stockton, CA 95215-1507","95215","03/18/10","85000","04/05/10","56.64","06/01/10","87000"
"4755 Garibaldi Ave Stockton, CA 95215-2208","95215","08/02/10","82500","08/04/10","107.42","09/03/10","82500"
"4512 Suburban Rd Stockton, CA 95215-1828","95215","09/18/10","89900","10/15/10","73.59","11/19/10","95000"
"519 N Alpine Rd Stockton, CA 95215-9709","95215","09/07/11","81500","11/11/11","61.64","11/13/11","81000"
"39 N Tulsa Ave Stockton, CA 95215-1511","95215","09/30/12","87500","03/08/13","59.04","03/08/13","80000"
"4707 Garibaldi Ave Stockton, CA 95215-2208","95215","10/07/11","99990","10/11/11","85.47","10/27/11","80000"
"4449 N Wilson Way Stockton, CA 95205-2413","95205","06/19/10","79900","11/09/10","73.80","11/23/10","80000"
"10391 E Comstock Rd Stockton, CA 95215-9118","95215","02/10/10","59900","02/20/10","87.61","04/01/10","79900"
"4432 Suburban Rd Stockton, CA 95215-1826","95215","08/12/10","72000","09/14/10","92.94","01/04/11","79000"
"4552 Virgil St Stockton, CA 95215-1831","95215","11/08/10","79500","12/01/10","75.40","01/13/11","76000"
"2755 Snyder Ln Stockton, CA 95215-1005","95215","12/12/11","79900","02/07/12","93.39","03/19/12","74900"
"2036 N Patterson Rd Stockton, CA 95215-9758","95215","04/01/13","74900","05/30/13","88.82","06/26/13","73900"
"4412 Suburban Rd Stockton, CA 95215-1826","95215","10/15/10","65000","01/20/11","66.08","01/21/11","68000"
"7298 E Main St, Stockton, CA 95215-1526","95215","10/25/11","74950","12/01/11","83.55","02/10/12","65000"
"78 S Patton Ave Stockton, CA 95215-1716","95215","07/01/11","105000","02/28/12","78.64","03/30/12","113000"
"4727 Cherokee Rd Stockton, CA 95215-2220","95215","12/11/09","69900","01/19/10","35.51","01/27/10","63500"
"4620 Homer St Stockton, CA 95215-1807","95215","09/21/11","70000","11/10/11","60.43","11/22/11","58500"
"4530 Virgil St Stockton, CA 95215-1831","95215","06/07/10","45000","07/12/10","36.89","07/30/10","45000"
"3429 Stevenson Ave Stockton, CA 95205-2409","95205","05/15/08","45900","01/06/09","46.50","01/27/09","42500"
"2193 N Jack Tone Rd Stockton, CA 95215-9728","95215","02/19/10","36500","06/01/10","26.06","06/24/10","30000"
"1999 N Patterson Rd Stockton, CA 95215-9439","95215","04/08/12","25000","04/18/12","20.56","07/27/12","20000"
"4801 Palmer Ave Stockton, CA 95215-1824","95215","08/18/10","95000","12/13/10","75.57","12/23/10","90000"
"2254 Nord Rd Stockton, CA 95215-9550","95215","01/15/10","90000","01/18/10","62.85","06/29/10","90000"
"37 S Patton Ave Stockton, CA 95215-1729","95215","02/12/09","99900","04/30/09","88.67","06/24/09","90000"
"11303 E Highway 26 Stockton, CA 95215-9746","95215","08/31/11","89900","12/01/11","83.40","12/19/11","87900"
"1680 White Ln Stockton, CA 95215-1226","95215","04/03/12","85000","04/24/12","74.87","06/25/12","87000"
"4768 Garibaldi Ave, Stockton, CA 95215-2247","95215","08/25/15","94900","08/28/15","91.46","09/29/15","90000"
"4623 Garibaldi Ave Stockton, CA 95215-2248","95215","09/18/13","70000","09/25/13","70.71","10/17/13","91000"
"55 N Jack Tone Rd Stockton, CA 95215-9574","95215","10/14/10","120000","10/15/10","105.56","03/11/11","95000"
"2445 Beyer Ln Stockton, CA 95215-2012","95215","05/22/12","75000","05/25/12","94.25","08/23/12","95000"
"3159 N Cherryland Ave Stockton, CA 95215-2203","95215","04/09/12","99950","06/26/12","80.45","07/30/12","100000"
"1570 N Alpine Rd Stockton, CA 95215-9761","95215","12/07/08","249900","12/22/08","55.85","02/02/09","105000"
"11788 Sun Rd Stockton, CA 95215-9741","95215","12/15/11","99900","01/10/12","99.62","03/20/12","105000"
"4419 Virgil St Stockton, CA 95215-1832","95215","05/14/12","105500","06/07/12","87.06","11/15/12","105000"
"4960 Leonardini Rd Stockton, CA 95215-1816","95215","08/31/11","169950","10/20/11","89.33","12/20/11","139000"
"5970 E Highway 26 St Stockton, CA 95215-1236","95215","11/20/12","135000","01/01/13","46.34","04/29/13","105000"
"7182 E Waterloo Rd Stockton, CA 95215-9106","95215","12/16/11","109900","12/30/11","90.18","03/16/12","107500"
"154 N Patton Ave Stockton, CA 95215","95215","01/24/13","109000","09/13/13","90.83","09/20/13","109000"
"10376 E Ada Ave Stockton, CA 95215-1502","95215","04/16/09","99900","04/24/09","100.73","06/16/09","110000"
"7353 E Highway 26 Stockton, CA 95215-9533","95215","07/20/12","109900","07/25/12","123.60","10/12/12","110000"
"39 N Tulsa Ave Stockton, CA 95215-1511","95215","09/14/13","119000","11/06/13","83.39","11/22/13","113000"
"11669 Sun Rd Stockton, CA 95215-9741","95215","07/15/11","110000","09/13/11","105.31","09/22/11","115000"
"13303 E Copperopolis Rd Stockton, CA 95215-9796","95215","04/16/14","60000","05/12/14","71.88","07/15/14","115000"
"2211 N Jack Tone Rd Stockton, CA 95215-9728","95215","03/29/11","149950","05/10/11","112.73","05/20/11","147000"
"1824 N Patterson Rd Stockton, CA 95215-9560","95215","08/24/10","148900","10/15/10","109.89","11/30/10","148900"
"8561 Copperopolis Rd Stockton, CA 95215-1523","95215","12/01/09","99000","02/24/10","125.00","04/09/10","120000"
"3737 N Cherryland Ave Stockton, CA 95215-2223","95215","04/16/12","129000","06/13/12","52.26","07/27/12","120000"
"13355 E Copperopolis Rd Stockton, CA 95215-9796","95215","06/18/10","135000","10/18/10","104.62","03/23/11","124500"
"10391 E Comstock Rd Stockton, CA 95215-9118","95215","07/14/11","145900","08/07/11","137.06","08/17/11","125000"
"5424 E Highway 26 Stockton, CA 95215-2023","95215","06/02/14","150000","06/26/14","138.27","08/15/14","125000"
"4739 Garibaldi Ave Stockton, CA 95215-2208","95215","07/31/14","129000","01/30/15","127.03","04/10/15","125000"
"52 S Patrick Rd, Stockton, CA 95215-1507","95215","11/30/15","150000","01/06/16","88.28","01/22/16","125000"
