Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"1604 Milton St Stockton, CA 95205-7062",95205,11/19/2008,27500,2/11/2009,24.13,3/18/2009,20000
"536 Spruce St Stockton, CA 95206-3256",95206,1/6/2009,14900,1/14/2009,35.46,1/30/2009,20000
"736 S Merced St Stockton, CA 95203-3225",95203,12/2/2008,19900,1/5/2009,12.81,2/27/2009,19900
"1020 S Garden Ave Stockton, CA 95205-7246",95205,11/17/2008,19900,12/31/2008,20.25,1/28/2009,19500
"2104 S Laurel St Stockton, CA 95206-2436",95206,3/19/2012,18500,3/31/2012,20.29,4/11/2012,18500
"1227 E Channel St Stockton, CA 95205-4907",95205,5/26/2009,28700,7/15/2009,10.46,8/21/2009,18500
"2643 S Van Buren St Stockton, CA 95206-3038",95206,5/12/2009,17500,5/28/2009,28.61,6/24/2009,18250
"1209 E Channel St Stockton, CA 95205-4907",95205,2/24/2009,21500,8/4/2009,10.65,9/4/2009,18000
"717 Sharon Ave Stockton, CA 95205-6440",95205,3/5/2009,28900,5/8/2009,13.55,6/24/2009,18000
"634 E Church St Stockton, CA 95203-3606",95203,1/22/2009,19900,2/27/2009,17.09,3/31/2009,18000
"1301 E Scotts Ave Stockton, CA 95205-6151",95205,10/7/2008,24900,10/15/2008,38.71,10/30/2008,18000
"437 Saint Francis St Stockton, CA 95206-3043",95206,8/25/2009,19900,8/25/2009,17.62,9/22/2009,17500
"3421 Section Ave Stockton, CA 95205-7214",95205,6/17/2009,17500,7/2/2009,18.12,8/13/2009,17500
"1445 W Hazelton Ave Stockton, CA 95203-3216",95203,5/12/2009,12375,5/15/2009,36.64,5/29/2009,17000
"1513 E 7th St Stockton, CA 95206-2334",95206,8/28/2009,11880,9/8/2009,13.08,10/19/2009,16500
"717 E 6th St Stockton, CA 95206-2722",95206,5/27/2009,14850,6/17/2009,16.92,7/25/2009,16500
"805 S San Joaquin St Stockton, CA 95206-1414",95206,11/26/2008,19900,12/1/2008,27.53,12/26/2008,22000
"1924 E 13th St Stockton, CA 95206-3537",95206,5/13/2012,18000,9/17/2012,36.36,11/7/2012,16000
"1848 W Washington St Stockton, CA 95203-2933",95203,4/2/2009,13999,4/7/2009,18.04,4/17/2009,16000
"531 S Stanislaus St Stockton, CA 95203-3717",95203,11/3/2008,29000,3/10/2009,16.24,3/26/2009,16000
"713 S Eugenia Ave Stockton, CA 95205-6224",95205,12/30/2008,7250,5/18/2009,22.35,6/17/2009,15000
"3825 Mourfield Ave Stockton, CA 95206-3725",95206,4/28/2011,12000,5/6/2011,5.25,6/30/2011,12000
"620 E 4th St Stockton, CA 95204",95204,1/25/2009,12500,2/23/2009,11.41,3/11/2009,11700
"1119 E 8th St Stockton, CA 95206-2206",95206,8/19/2011,44000,11/4/2011,8.36,4/25/2012,10000
"1222 S Pilgrim St Stockton, CA 95205-6931",95205,6/13/2011,5900,6/23/2011,12.50,9/5/2011,9000
"2326 E Marsh St Stockton, CA 95205-6550",95205,2/18/2009,16900,8/5/2009,6.51,9/21/2009,6000
"2036 Michael Ave Stockton, CA 95206-3620",95206,11/24/2008,24950,2/28/2009,32.05,3/31/2009,20000
"636 E 9th St Stockton, CA 95206-3228",95206,1/7/2009,20000,3/6/2009,21.83,4/16/2009,20000
"2341 Phelps St Stockton, CA 95206-3324",95206,3/12/2009,22900,3/13/2009,17.14,4/20/2009,20000
"1548 S California St Stockton, CA 95206-2147",95206,1/24/2009,24900,3/11/2009,30.58,6/26/2009,20000
"1507 S Sutter St Stockton, CA 95206-2056",95206,3/23/2009,24900,7/11/2009,17.24,8/10/2009,20000
"320 E 1st St Stockton, CA 95206-2064",95206,2/11/2010,29580,3/17/2010,22.30,5/26/2010,20000
"620 S Airport Way Stockton, CA 95205-6125",95205,4/30/2010,29900,5/3/2010,14.18,5/28/2010,20000
"2145 S California St Stockton, CA 95206-3236",95206,6/1/2010,32500,11/2/2010,20.41,12/27/2010,20000
"1956 S Sutter St Stockton, CA 95206-2744",95206,8/2/2010,22900,3/14/2011,14.88,6/23/2011,20000
