Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"4417 Townehome Dr Stockton, CA 95207-7715",95207,10/30/2008,28500,2/9/2009,12.32,5/19/2009,13750
"4437 La Cresta Way #3 Stockton, CA 95207-7731",95207,12/22/2009,17900,2/3/2010,20.12,2/27/2010,16900
"1835 Knickerbocker Dr Stockton, CA 95210-3122",95210,9/3/2008,19900,12/22/2008,14.68,1/30/2009,17000
"4446 Calandria St #2 Stockton, CA 95207-7774",95207,10/6/2008,19900,1/13/2009,20.24,3/20/2009,17000
"4465 La Cresta Way #2 Stockton, CA 95207-7728",95207,5/14/2010,17900,7/13/2010,20.27,8/25/2010,17024
"4477 La Cresta Way Stockton, CA 95207-7725",95207,1/16/2010,25500,3/21/2010,19.48,4/5/2010,18000
"4409 Calandria St #1 Stockton, CA 95207-7748",95207,5/28/2010,18900,6/3/2010,22.64,7/20/2010,18000
"4433 Calandria St #2 Stockton, CA 95207-7744",95207,10/18/2010,19900,11/3/2010,21.43,12/23/2010,18000
"4408 La Cresta Way #1 Stockton, CA 95207-7737",95207,9/7/2010,19900,11/19/2010,22.64,12/30/2010,18000
"408 E Bianchi Rd #3 Stockton, CA 95207-7718",95207,1/22/2010,20000,2/9/2010,22.02,3/1/2010,18500
"4435 Townehome Dr Stockton, CA 95207-7715",95207,12/8/2008,22000,1/5/2009,14.36,2/26/2009,19000
"434 Caribrook Way Stockton, CA 95207-7766",95207,9/19/2008,27000,12/15/2008,23.81,1/22/2009,20000
"502 Caribrook Way Stockton, CA 95207-7761",95207,1/8/2009,24900,1/13/2009,23.81,2/9/2009,20000
"4438 La Cresta Way #3 Stockton, CA 95207-7742",95207,12/11/2008,23900,1/8/2009,23.81,2/27/2009,20000
"402 E Bianchi Rd #2 Stockton, CA 95207-7717",95207,9/26/2008,24900,2/6/2009,23.81,3/27/2009,20000
"504 E Bianchi Rd #4 Stockton, CA 95207-7779",95207,6/1/2010,16830,6/14/2010,21.65,7/12/2010,20000
"4419 La Cresta Way #1 Stockton, CA 95207-7734",95207,6/15/2010,20900,8/1/2010,26.29,9/23/2010,20900
"4415 Townehome Dr Stockton, CA 95207-7715",95207,8/22/2008,20000,1/28/2009,18.82,4/23/2009,21000
"4413 La Cresta Way ##1 Stockton, CA 95207-7735",95207,12/16/2008,23000,12/30/2008,26.57,1/22/2009,21120
"540 Salem Way Stockton, CA 95207-7712",95207,11/3/2008,18000,1/14/2009,16.63,3/27/2009,22000
"434 Caribrook Way #1 Stockton, CA 95207-7766",95207,9/14/2009,16900,10/20/2009,27.67,11/24/2009,22000
"4466 Calandria St #3 Stockton, CA 95207-7776",95207,10/15/2009,20000,3/23/2010,26.19,5/4/2010,22000
"4482 Denby Ln Stockton, CA 95207-7435",95207,6/11/2010,22900,8/24/2010,28.5,9/16/2010,22000
"4465 La Cresta Way #4 Stockton, CA 95207-7728",95207,7/29/2008,24250,10/16/2008,24.62,11/10/2008,22750
"4416 Calandria St #1 Stockton, CA 95207-7769",95207,9/19/2008,23900,12/1/2008,30.06,2/27/2009,23900
"4427 Calandria St #3 Stockton, CA 95207-7745",95207,12/29/2008,24500,2/4/2009,28.57,3/4/2009,24000
"4410 Calandria St #4 Stockton, CA 95207-7768",95207,1/25/2010,20000,2/6/2010,25.97,2/25/2010,24000
"4407 La Cresta Way Stockton, CA 95207-7736",95207,10/23/2008,24900,11/18/2008,31.45,12/19/2008,25000
"4332 Pacific Ave #27 Stockton, CA 95207-7627",95207,11/7/2009,25000,11/7/2009,35.97,11/7/2009,25000
"1629 Pyrenees Ave #50 Stockton, CA 95210-5217",95210,1/11/2010,28000,5/10/2010,44.64,5/28/2010,25000
"4431 La Cresta Way #2 Stockton, CA 95207-7732",95207,3/18/2010,19900,7/8/2010,29.76,9/1/2010,25000
"1553 Pyrenees Ave #35 Stockton, CA 95210-5210",95210,9/6/2010,25000,11/10/2010,44.64,11/30/2010,25000
"4433 Calandria St #1 Stockton, CA 95207-7744",95207,9/23/2008,28350,11/5/2008,32.08,12/26/2008,25500
"4332 Pacific Ave #13 Stockton, CA 95207-7641",95207,12/1/2009,27500,12/8/2009,39.57,12/23/2009,27500
"4411 Townehome Dr Stockton, CA 95207-7715",95207,1/5/2009,27000,1/6/2009,20.83,1/8/2009,28000
"4420 La Cresta Way #4 Stockton, CA 95207-7739",95207,2/26/2010,25000,10/5/2010,30.3,11/4/2010,28000
"4403 Townehome Dr Stockton, CA 95207-7715",95207,9/29/2008,19900,10/10/2008,21.54,11/19/2008,28500
"4414 La Cresta Way #4 Stockton, CA 95207-7738",95207,10/15/2008,29900,11/12/2008,31.39,1/13/2009,29000
"835 E Yorkshire Dr Stockton, CA 95207-5930",95207,11/27/2008,20000,4/7/2009,20.16,5/12/2009,30000
"4332 Pacific Ave #69 Stockton, CA 95207-7634",95207,9/25/2008,34900,6/11/2009,41.1,7/17/2009,30000
"4332 Pacific Ave #9 Stockton, CA 95207-7641",95207,12/21/2009,28900,12/28/2009,41.73,1/21/2010,29000
"521 Cabana Way Stockton, CA 95207-7704",95207,5/29/2009,15900,6/22/2009,21.16,3/10/2010,28000
"523 Cabana Way Stockton, CA 95207-7704",95207,9/22/2009,30000,12/15/2009,24.19,2/2/2010,32000
"328-#10 Northbank Ct Stockton, CA 95207-7640",95207,3/18/2010,38000,8/6/2010,36.16,8/24/2010,32000
